nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A13a.jpeg;Oui;0;26;54.4615;52;0;142;19.4669;42;51.8571;52;48;54;1.76098
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A13b.jpeg;Oui;0;25;59.08;60;0;62;8.41243;40;60.075;60;56;61;1.34712
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A13c.jpeg;Oui;0;25;53.5;55;0;55;7.52208;40;54.425;55;51;54;0.873763
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A13d.jpeg;Oui;0;25;53.3;55;0;55;7.56536;40;54.35;55;50;54;1.33109
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B01a.jpeg;Oui;0;25;33.28;34;0;34;4.61603;40;33.85;34;31;33;0.622237
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B01b.jpeg;Oui;0;25;45.8;47;0;47;6.48074;40;46.675;47;43;46;1.16327
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B01c.jpeg;Oui;0;25;45.46;46;0;48;6.53783;40;46.275;46;42;47;1.43201
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B01d.jpeg;Oui;0;25;51.4;52;0;54;7.3011;40;52.3;52;48;52;1.20256
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B02a.jpeg;Oui;0;25;35.6;36;0;36;4.93219;40;36.3;36;33;35;0.757865
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B02b.jpeg;Oui;0;25;49.24;50;0;52;7.09285;40;50.125;50;46;51;1.53902
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/B02c.jpeg;Oui;0;25;37.76;39;0;38;5.48304;40;38.775;39;33;38;1.25038
